from,to,source coord,target coord,distance,time by car,time by flight
Dammam,Riyadh,"26.399250,49.984360","24.774265,46.738586",409,4,1
Riyadh,Makkah,"24.774265,46.738586","21.422510,39.826168",869,9,3
Makkah,Jeddah,"21.422510,39.826168","21.543333,39.172779",89,0.44,5
Jeddah,Madinah,"21.543333,39.172779","24.470901,39.612236",415,4,1
Al-baha,Abha,"20.01288,41.46767","18.329384,42.759365",332,3,5
Abha,Najran,"18.329384,42.759365","17.49173,44.13229",256,3,4
Hayil,Buraydah,"27.523647,41.696632","26.348867,43.743782",227,2,1
Buraydah,Riyadh,"26.348867,43.743782","24.774265,46.738586",357,3,1
Tabuk,Sakaka,"28.3998,36.57151","29.953894,40.197044",466,4,7
Sakaka,AlArAr,"29.953894,40.197044","30.983334,41.016666",185,1,4
Sakaka,Hayil,"29.953894,40.197044","27.523647,41.696632",388,4,6
Hayil,Madinah,"27.523647,41.696632","24.470901,39.612236",427,4,3
Makkah,Jizan,"21.422510,39.826168","16.909683,42.567902",689,6,3
Jeddah,Jizan,"21.543333,39.172779","16.909683,42.567902",708,7,2
Jizan,Najran,"16.909683,42.567902","17.49173,44.13229",333,3,4
Jizan,Abha,"16.909683,42.567902","18.329384,42.759365",1040,8,4
Hayil,Riyadh,"27.523647,41.696632","24.774265,46.738586",202,2,1
Dammam,Hafoof,"26.399250,49.984360","25.3833318,49.583331",147,1,1
Jeddah,Yanbu,"21.543333,39.172779","24.186848,38.026428",332,3,1
Taif,Makkah,"21.437273,40.512714","21.422510,39.826168",90,0.45,2
